"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,813023.562529477,652020.918737367,231680.069795598,2046401.19476288
"2","b_t",1952,455352.425739324,382993.047339523,116394.554602925,1169637.72601031
"3","b_t",1953,268207.047887816,233342.100222541,66990.5542730489,680383.197968583
"4","b_t",1954,218986.626968456,193590.532131175,55238.9175756418,564327.02979402
"5","b_t",1955,167258.898116466,144528.654568139,43370.5175188678,408100.817299734
"6","b_t",1956,146269.474831946,127202.028241572,36705.2508261506,357299.306968465
"7","b_t",1957,151987.162138379,130294.004973151,39935.9606230672,385169.486410971
"8","b_t",1958,175145.447014044,156976.70341098,45022.3980083203,435883.047590073
"9","b_t",1959,189430.267485363,160251.436468812,48101.025223381,479314.855506643
"10","b_t",1960,218002.186719832,185454.211531106,56337.0293381779,551460.378305746
"11","b_t",1961,222563.825894284,195519.823651217,55775.3776809829,585056.376670579
"12","b_t",1962,308212.960247864,263582.560613452,77541.2940982747,777997.59437314
"13","b_t",1963,369566.460706792,317529.715279469,91116.3958430115,942140.097858594
"14","b_t",1964,431591.461644286,356936.718955938,109486.349313742,1096918.92054159
"15","b_t",1965,416449.726360446,357489.425147718,105044.216502516,1067046.14256837
"16","b_t",1966,358463.844995749,311075.924231152,91415.3174315837,918214.818505883
"17","b_t",1967,405984.160555109,357908.17673344,105255.028020697,1047900.90885678
"18","b_t",1968,432247.348416041,358404.222878992,110877.473164916,1081727.81000314
"19","b_t",1969,473066.057328667,404371.200751456,117332.984058237,1239795.14279307
"20","b_t",1970,498396.914741676,429938.431125686,129551.397796949,1246188.88516923
"21","b_t",1971,490789.748534687,413617.999870194,125191.655079714,1265849.94367616
"22","b_t",1972,451081.636074498,380560.773878067,113143.133768179,1170574.05745034
"23","b_t",1973,408933.904823216,352066.729118594,103583.017989502,1076228.10798103
"24","b_t",1974,395776.941447651,330146.80031276,101067.096827017,984992.564651832
"25","b_t",1975,426755.116715781,365747.203038976,108418.240614373,1037184.85515432
"26","b_t",1976,579544.107790732,487498.088874127,148376.400473006,1480560.12314144
"27","b_t",1977,730743.37202773,620261.381304367,187174.453758756,1866004.88945193
"28","b_t",1978,828634.651681529,685049.865321289,211591.630023361,2140521.0707892
"29","b_t",1979,979100.416376715,823435.988351351,242534.141320765,2443491.71940902
"30","b_t",1980,1149948.64304575,964524.648233665,299793.224977176,2901293.90645862
"31","b_t",1981,1289385.77164743,1121807.08629066,330387.327169811,3265439.26827342
"32","b_t",1982,1489450.99016237,1262783.74759633,385917.702495689,3844151.83295973
"33","b_t",1983,1335229.36980543,1157916.27914137,347970.749613011,3518090.46969606
"34","b_t",1984,1524623.72938957,1303528.43425794,399264.713112591,3847455.91194577
"35","b_t",1985,2295309.55867798,1942080.20067957,591907.867911502,5934413.49485946
"36","b_t",1986,2679241.37483628,2269968.40346703,692435.610627541,6884120.70326694
"37","b_t",1987,2755852.09951862,2363447.82433282,692514.392298688,7170494.44294879
"38","b_t",1988,2509590.07363476,2147683.62156526,651805.857381597,6510802.49784283
"39","b_t",1989,2456266.81096903,2131103.5680759,622956.443071999,6196377.19693688
"40","b_t",1990,2059326.686491,1744801.02641748,523284.622198971,5233008.05425153
"41","b_t",1991,1828609.29220571,1575873.61537554,466480.566963875,4607880.62732063
"42","b_t",1992,1938718.38240973,1654070.93487604,490194.834068632,4902510.24652026
"43","b_t",1993,2191465.50342815,1854127.66640587,574248.386961624,5457718.01820483
"44","b_t",1994,2451696.98273655,2110047.97997551,644525.484765134,6301415.54336245
"45","b_t",1995,2162035.40951791,1820013.21313682,552454.773956702,5577487.86695785
"46","b_t",1996,1755721.57082059,1503380.75230392,442259.443792191,4667647.5931111
"47","b_t",1997,1773778.17494675,1558543.84380418,443651.32499091,4589336.93534526
"48","b_t",1998,1510439.70340101,1319357.50363599,373483.282457784,3773523.74384895
"49","b_t",1999,1485375.30321674,1299908.34870351,375718.034556896,3722010.66623682
"50","b_t",2000,1395613.50566237,1210165.22801216,353068.58098852,3509652.26988581
"51","b_t",2001,1088460.32716497,931004.363448765,277178.155033173,2756436.88500095
"52","b_t",2002,1055085.40526019,900785.76074807,273531.859926913,2675283.66638381
"53","b_t",2003,1232795.3715962,1035101.59212946,319450.138478786,3143470.26369864
"54","b_t",2004,1459451.76435723,1294110.75437113,370289.673693087,3682239.49504622
"55","b_t",2005,1326552.3146546,1154727.43887573,338073.186751798,3323235.20073402
"56","b_t",2006,1137938.08191534,992822.776311993,293322.220209445,2929894.89889191
"57","b_t",2007,899321.498668174,793593.650296415,227720.34016475,2327162.08978781
"58","b_t",2008,845847.16625162,722483.746263352,215575.966217753,2158139.98907413
"59","b_t",2009,701498.636262462,605012.666635711,182919.633530716,1803493.89264975
"60","b_t",2010,594477.820800046,521559.845493021,151469.123323789,1519683.18208335
"61","b_t",2011,591603.227020575,505833.352391986,148238.745210818,1533395.81224392
