variable,year,mean,sd,lower,upper
b_t,1951,968962.167952039,831354.63972835,263213.92897734,2478778.19816532
b_t,1952,523013.368102807,475567.558648815,131113.506202806,1335062.9912313
b_t,1953,299874.48984574,272704.705049673,72765.5793349928,776500.488649306
b_t,1954,244849.813683313,226936.514074374,59695.638626938,621884.04964483
b_t,1955,189465.593819969,171898.260795656,45776.5760539617,491039.343028713
b_t,1956,163772.633698275,150746.397541438,40281.208450258,415005.255685604
b_t,1957,171932.126525539,159102.745948234,42886.1756811937,421433.001915591
b_t,1958,196311.848147496,181779.453770988,48552.3110735522,491878.860666115
b_t,1959,214309.396728089,194917.054234023,52280.2049916466,548698.290375218
b_t,1960,245965.356965917,222324.9670855,59081.3175919136,647162.870056075
b_t,1961,248456.602180992,219521.385238558,60018.1537498615,671476.414683466
b_t,1962,343612.651005024,307065.107596368,84841.8777104771,898120.490085144
b_t,1963,412381.256396508,370667.905552516,99295.9588356573,1039746.41165227
b_t,1964,482222.945596394,435342.847388361,118764.442265072,1248728.48078773
b_t,1965,466260.573571212,426972.858311189,111519.8483161,1186448.77206034
b_t,1966,403295.386205531,372468.551614738,99348.4284651451,1061729.91487631
b_t,1967,450077.861757078,407712.325632014,112711.599157829,1153524.31184973
b_t,1968,485275.512005001,436457.503629432,113096.547426244,1266473.25744974
b_t,1969,530365.63142103,482938.24735538,127884.431676786,1322267.19508384
b_t,1970,565351.683174453,530450.844784263,136278.744829812,1454614.09566624
b_t,1971,552333.188568767,529117.177450469,130421.487630039,1386739.17220043
b_t,1972,509862.762912723,476094.732924805,119518.181067818,1320940.51402594
b_t,1973,464959.20623782,442860.106975137,110501.466573631,1206489.8593999
b_t,1974,452398.100559786,420204.944520133,108166.425726814,1176074.26790985
b_t,1975,490898.176088175,469130.985483214,118137.383068043,1267977.0506486
b_t,1976,657210.681873506,588967.314236892,157335.798185685,1669097.72314165
b_t,1977,821860.701732684,715544.802695636,204481.989459768,2080202.6368718
b_t,1978,937709.315675075,855739.05343202,230436.883692305,2436362.36367527
b_t,1979,1108844.02412757,1012356.71336464,267542.371844835,2909427.51196213
b_t,1980,1284878.99394766,1180613.99756717,309242.241238126,3275811.54163506
b_t,1981,1448969.8575972,1326997.25498214,360137.104591831,3843076.49260676
b_t,1982,1679944.43024059,1553800.732864,407926.600963965,4437341.20859945
b_t,1983,1468259.37924546,1315697.23246222,359644.206281656,3908392.9075921
b_t,1984,1684520.69076721,1507166.93535561,422013.788345244,4411460.29848246
b_t,1985,2553692.31515823,2357099.96970287,637850.262157752,6499224.74503841
b_t,1986,2949218.41264814,2621687.65349908,743233.988421242,7485216.93972286
b_t,1987,2996728.30536233,2655109.26509225,735719.274444714,7473291.73182466
b_t,1988,2780244.12671689,2473298.70442588,679296.029169911,7185290.61946537
b_t,1989,2749256.33665481,2547413.3178607,641123.57809312,7158192.45790365
b_t,1990,2278261.17153517,2061001.60202318,566053.449773252,5849165.74206791
b_t,1991,2011765.07275698,1795056.43615937,511006.293266456,5237023.54343467
