variable,year,mean,sd,lower,upper
b_t,2005,21194.5045146893,23850.0169448769,3707.03243303431,64773.8734013982
b_t,2006,10460.0076694133,14860.4103012567,1224.82505870374,33053.2818229762
b_t,2007,24413.940294802,34222.1413475016,3015.29080881118,75311.7407598402
b_t,2008,39822.0929911301,52821.7978937174,5527.93800396769,118196.866847959
b_t,2009,26069.0618846168,35876.6859753683,2714.4548883096,90738.3045117882
b_t,2010,20406.8682377188,27635.6600121553,2125.73569218198,68109.2287863044
b_t,2011,19365.4798084838,27266.253868168,2174.71237802497,62323.1045249635
b_t,2012,39122.5925499989,49045.1682718402,4899.44207612329,117695.188299504
b_t,2013,15111.9661935119,21662.7197372727,1349.69534551744,47354.2643888468
b_t,2014,16426.8691064872,24831.1114744926,1597.94903586246,54084.8286123197
b_t,2015,18705.6086609453,27953.266278478,1812.9914657671,61476.3864404631
b_t,2016,18330.625459122,30980.4778533727,1357.63808138561,63398.9516540884
b_t,2017,15420.309422188,27083.3313311056,1126.94050696899,49906.3318416424
b_t,2018,9573.88496521013,10647.7301138624,1548.98988033985,28274.3195640798
bmsy,2005,14607.5194060296,15997.2533261083,2614.39791592957,43431.2443091226
ck,2005,0.00209526914877658,0.00174837556343373,0.000333861159588423,0.00554621125245772
ck,2006,0.00187851716786866,0.00156750912583714,0.00029932379825169,0.00497246526082417
ck,2007,0.0381483486397943,0.0318324930170004,0.00607857559526508,0.100979294527506
ck,2008,0.15924045530702,0.132876542820964,0.0253734481287202,0.421512055186787
ck,2009,0.0276720028959114,0.0230906151998317,0.00440926979732297,0.0732482382652175
ck,2010,0.0190741743198971,0.0159162465085002,0.00303928779763254,0.0504896472637531
ck,2011,0.0109098497056987,0.00910361069236186,0.00173838052061558,0.0288785482455557
ck,2012,0.149703368147071,0.124918419566714,0.0238538042299039,0.396267231554911
ck,2013,0.00838107659510632,0.00699350225373494,0.00133544463835369,0.0221848450098309
ck,2014,0.0126438655529621,0.0105505421931346,0.00201467941130945,0.0334685161786242
ck,2015,0.0191464249801998,0.0159765353210324,0.00305080025141145,0.0506808959276309
ck,2016,0.0132218708353832,0.0110328526933922,0.00210677904154074,0.034998505489647
ck,2017,0.00411828763725052,0.00343646231433527,0.000656209865397935,0.0109011738410376
ck,2018,0.119791594781778,0.0999588511783839,0.0190876483654347,0.31709028470948
crashed,2005,0,0,0,0
delta,2005,100,0,100,100
dep_t,2005,0.719814415778243,0.0734540634832567,0.614383191550422,0.841761399757021
dep_t,2006,0.367474554209969,0.22416732471411,0.118844314523957,0.764288671902573
dep_t,2007,0.848971595353477,0.444361818691327,0.288908446309089,1.68354358897476
dep_t,2008,1.34916933343341,0.52854913139509,0.551829310108445,2.24351125748647
dep_t,2009,0.869093129895119,0.487630276168602,0.26949487912675,1.78483513556023
dep_t,2010,0.698005095176805,0.426984997526283,0.198450475639236,1.54256591996121
dep_t,2011,0.659805336896111,0.36842869282915,0.200348977903385,1.35473395579121
dep_t,2012,1.34873288624143,0.589583583684752,0.471873919006789,2.30852715428257
dep_t,2013,0.503956081035313,0.338800044811767,0.143898319614924,1.11161635872927
dep_t,2014,0.553256609243407,0.368854547822663,0.147694400239364,1.27381729960507
dep_t,2015,0.632534401968566,0.41271161100245,0.16051058861834,1.46248905109775
dep_t,2016,0.602416052656169,0.471767075875745,0.112851058793827,1.56457774292481
dep_t,2017,0.510378204359687,0.431362026091038,0.109940457204596,1.44093566368807
dep_t,2018,0.32970291429062,0.0911581130181556,0.207152398070305,0.489455001359625
growth_t,2005,0.123193713248924,0.0348125402559888,0.0731039028536865,0.181443051312671
growth_t,2006,0.114402982746833,0.0747930990014303,0.0497739717350017,0.187478994084443
growth_t,2007,-0.0375248489409528,0.320227026095876,-0.709147902028853,0.183564074877704
growth_t,2008,-0.430628372755604,0.55732296133907,-1.53522757619746,0.155890543857164
growth_t,2009,-0.0672403310045143,0.392137887691257,-0.874865921010439,0.185223879457574
growth_t,2010,0.022605873115127,0.280901359442066,-0.507100075673973,0.187083168988621
growth_t,2011,0.0589714518803344,0.204972595224975,-0.295428249753492,0.192346213626826
growth_t,2012,-0.475229329151261,0.629286884617257,-1.70873546540005,0.161218494751079
growth_t,2013,0.0881344670413635,0.186671275035507,-0.071484734209867,0.190332854522161
growth_t,2014,0.0724390505749916,0.199719896552947,-0.204215232221873,0.191841598587751
growth_t,2015,0.0442331406890705,0.252544368057571,-0.390974436997929,0.191983980544854
growth_t,2016,0.0164568862331556,0.312690236838228,-0.535928329275104,0.18403212828711
growth_t,2017,0.0401901160367437,0.280340592354521,-0.403138360887145,0.180889649753179
growth_t,2018,0.133562888895184,0.0336018677451279,0.0857391363145739,0.192167470183769
index_hat_t,2005,21194.5045146893,23850.0169448769,3707.03243303431,64773.8734013982
index_hat_t,2006,10460.0076694133,14860.4103012567,1224.82505870374,33053.2818229762
index_hat_t,2007,24413.940294802,34222.1413475016,3015.29080881118,75311.7407598402
index_hat_t,2008,39822.0929911301,52821.7978937174,5527.93800396769,118196.866847959
index_hat_t,2009,26069.0618846168,35876.6859753683,2714.4548883096,90738.3045117882
index_hat_t,2010,20406.8682377188,27635.6600121553,2125.73569218198,68109.2287863044
index_hat_t,2011,19365.4798084838,27266.253868168,2174.71237802497,62323.1045249635
index_hat_t,2012,39122.5925499989,49045.1682718402,4899.44207612329,117695.188299504
index_hat_t,2013,15111.9661935119,21662.7197372727,1349.69534551744,47354.2643888468
index_hat_t,2014,16426.8691064872,24831.1114744926,1597.94903586246,54084.8286123197
index_hat_t,2015,18705.6086609453,27953.266278478,1812.9914657671,61476.3864404631
index_hat_t,2016,18330.625459122,30980.4778533727,1357.63808138561,63398.9516540884
index_hat_t,2017,15420.309422188,27083.3313311056,1126.94050696899,49906.3318416424
index_hat_t,2018,9573.88496521013,10647.7301138624,1548.98988033985,28274.3195640798
k,2005,29215.0388120592,31994.5066522166,5228.79583185915,86862.4886182451
log_b,2005,9.54706164520136,0.883641318027948,8.21798674942807,11.078657155251
log_b,2006,8.71284768041899,1.0190604912513,7.11055222845004,10.4058759208085
log_b,2007,9.57421998147613,1.00218459659618,8.0114514681476,11.2293895341662
log_b,2008,10.0916519015345,0.983832174988938,8.61756956397005,11.6801068753948
log_b,2009,9.57930189708105,1.07586283416607,7.90634599523652,11.415733065756
log_b,2010,9.33764522474487,1.07070073957192,7.66186989703652,11.1288679772929
log_b,2011,9.30540801067794,1.05026845919999,7.68464846555875,11.0400830958458
log_b,2012,10.0644099775296,1.0020953310404,8.49687657293315,11.6758521627116
log_b,2013,9.00160180366431,1.11533126068244,7.20763279869514,10.7654096196676
log_b,2014,9.08024109676227,1.10690764984497,7.37647622790754,10.8983066814628
log_b,2015,9.21575550083962,1.09860225368685,7.50273127523391,11.0264065572757
log_b,2016,9.07449167722768,1.20347638174434,7.21350171483339,11.0572015802508
log_b,2017,8.91013421258576,1.18323687148786,7.02726148096353,10.8179026194634
log_b,2018,8.73501666352676,0.915281761306355,7.34535793547027,10.2497090669206
log_b_div_bmsy,2005,0.359283993944884,0.100676941000583,0.206010723690402,0.520888466733719
log_b_div_bmsy,2006,-0.474929970837494,0.587870048744645,-1.43679553525613,0.424337398804255
log_b_div_bmsy,2007,0.386442330219656,0.554336366598831,-0.54849859813155,1.21404789543942
log_b_div_bmsy,2008,0.90387425027807,0.445428348588983,0.0986306764882579,1.50118912156059
log_b_div_bmsy,2009,0.39152424582457,0.589645008425741,-0.618058709779532,1.27247304052971
log_b_div_bmsy,2010,0.149867573488389,0.625646707238791,-0.924068536400735,1.1265940579479
log_b_div_bmsy,2011,0.11763035942146,0.590420917933787,-0.914548411078262,0.996752272428495
log_b_div_bmsy,2012,0.876632326273106,0.515970286019496,-0.0578965750109737,1.52975684561619
log_b_div_bmsy,2013,-0.186175847592166,0.631219793909368,-1.24550121956654,0.798962225453233
log_b_div_bmsy,2014,-0.107536554494209,0.666449580752254,-1.21946305501528,0.935164853502923
log_b_div_bmsy,2015,0.0279778495831419,0.668216922631054,-1.13624826808393,1.07328699329499
log_b_div_bmsy,2016,-0.113285974028799,0.810292160911754,-1.48853992008313,1.140763145633
log_b_div_bmsy,2017,-0.277643438670717,0.78034049040987,-1.5146692391293,1.05843937737383
log_b_div_bmsy,2018,-0.452760987729715,0.268711330188862,-0.881153927927037,-0.0213155851186304
log_c_div_msy,2005,-4.63945629412606,0.896233451134872,-6.13073592695013,-3.28674601587877
log_c_div_msy,2006,-4.74865558609105,0.896233451134872,-6.23993521891512,-3.39594530784376
log_c_div_msy,2007,-1.73765584040627,0.896233451134872,-3.22893547323034,-0.38494556215898
log_c_div_msy,2008,-0.308722953839728,0.896233451134872,-1.8000025866638,1.04398732440756
log_c_div_msy,2009,-2.05871713493189,0.896233451134872,-3.54999676775596,-0.706006856684596
log_c_div_msy,2010,-2.43080302096622,0.896233451134872,-3.92208265379029,-1.07809274271893
